1789456409,75,1163.19
1789456414,75,1163.19
1789456419,75,1163.19
1789456424,75,1163.19
1789456429,75,1163.19
1789456434,75,1163.19
1789456439,75,1163.19
1789456444,75,1163.19
1789456449,75,1163.19
1789456454,75,1163.19
1789456459,75,1163.19
1789456464,75,1163.19
1789456469,75,1163.19
1789456474,75,1163.19
1789456479,75,1163.19
1789456484,76,1163.19
1789456489,76,1163.19
1789456494,76,1163.19
1789456499,75,1163.19
1789456504,75,1163.19
1789456509,74,1163.19
1789456514,72,1163.19
1789456519,70,1163.19
1789456524,70,1163.19
1789456529,71,1163.19
1789456534,71,1163.19
1789456539,72,1163.19
1789456544,72,1163.19
1789456549,72,1163.19
1789456554,72,1163.19
1789456559,67,1155.19
1789456564,67,1155.19
1789456569,67,1155.19
1789456574,67,1155.19
1789456579,67,1155.19
1789456584,67,1155.19
1789456589,68,1155.19
1789456594,68,1155.19
1789456599,67,1155.19
1789456604,68,1155.19
1789456609,68,1155.19
1789456614,68,1155.19
1789456619,72,1155.19
1789456624,72,1155.19
1789456629,71,1155.19
1789456634,72,1155.19
1789456639,72,1155.19
1789456644,72,1155.19
1789456649,72,1155.19
1789456654,72,1155.19
1789456659,71,1155.19
1789456664,72,1155.19
1789456669,72,1155.19
1789456674,72,1155.19
1789456679,72,1155.19
1789456684,72,1155.19
1789456689,71,1155.19
1789456694,69,1155.19
1789456699,69,1155.19
1789456704,65,1155.19
1789456709,66,1155.19
1789456714,66,1155.19
1789456719,66,1155.19
1789456724,66,1155.19
1789456730,67,1155.19
1789456735,66,1155.19
1789456740,65,1155.19
1789456745,66,1155.19
1789456750,66,1155.19
1789456755,67,1155.19
1789456760,67,1155.19
1789456765,66,1155.19
1789456770,67,1155.19
1789456775,67,1155.19
1789456780,66,1155.19
1789456785,67,1155.19
1789456790,67,1155.19
1789456795,67,1155.19
1789456800,67,1155.19
1789456805,67,1155.19
1789456810,66,1155.19
1789456815,67,1155.19
1789456820,68,1155.19
1789456825,69,1155.19
1789456830,67,1155.19
1789456835,71,1155.19
1789456840,71,1155.19
1789456845,72,1155.19
1789456850,71,1155.19
1789456855,70,1155.19
1789456860,72,1155.19
1789456865,70,1155.19
1789456870,71,1155.19
1789456875,72,1155.19
1789456880,70,1155.19
1789456885,71,1155.19
1789456890,73,1155.19
1789456895,70,1155.19
1789456900,71,1155.19
1789456905,73,1155.19
1789456910,71,1155.19
